Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F104577,Maharashtra,Ratnagiri,Chiplun,  37 ,"  5,908,305 ","  11,800 ",DIGITAL
Apr-18,F104298,Madhya Pradesh,Morena,Morena,  1 ,  220 ,  0 ,DIGITAL
Apr-18,F104196,Madhya Pradesh,Morena,Morena,  18 ,"  1,064,876 ","  2,415 ",DIGITAL
Apr-18,F101013,Gujarat,Rajkot,Rajkot,  17 ,"  1,193,494 ","  2,724 ",DIGITAL
Apr-18,F163933,Madhya Pradesh,Morena,Morena,  23 ,"  4,868,742 ","  11,630 ",DIGITAL
Apr-18,F104762,Maharashtra,Amravati,Ambada E,  8 ,"  57,778 ",  9 ,DIGITAL
Apr-18,F167077,Madhya Pradesh,Shivpuri,Kolaras,  1 ,"  4,800 ",  10 ,DIGITAL
Apr-18,F103930,Madhya Pradesh,Ujjain,Ujjain,  98 ,"  3,536,526 ","  6,239 ",DIGITAL
Apr-18,F104815,Madhya Pradesh,Vidisha,Ahmedpur,  31 ,"  3,129,902 ","  6,550 ",DIGITAL
Apr-18,F104755,Maharashtra,Sangli,Miraj,  49 ,"  1,458,661 ","  1,249 ",DIGITAL
Apr-18,F103966,Maharashtra,Solapur,Mangalvedha,  21 ,"  878,709 ","  1,547 ",DIGITAL
Apr-18,F160501,Gujarat,Rajkot,Wankaner,  20 ,"  11,357,150 ","  24,174 ",DIGITAL
Apr-18,F103592,Maharashtra,Sangli,Miraj,  2 ,"  1,501,884 ","  3,002 ",DIGITAL
Apr-18,F104822,Maharashtra,Sangli,Khanapur,  19 ,"  4,467,443 ","  9,235 ",DIGITAL
Apr-18,F104644,Madhya Pradesh,Ratlam,Jaora,  4 ,"  47,542 ",  55 ,DIGITAL
Apr-18,F103829,Maharashtra,Sangli,Miraj,  28 ,"  200,981 ",  135 ,DIGITAL
Apr-18,F104482,Tamil Nadu,Thanjavur,Thanjavur,  2 ,"  8,880 ",  -   ,DIGITAL
Apr-18,F103057,Goa,North Goa,Panaji,  83 ,"  6,829,646 ","  10,329 ",DIGITAL
Apr-18,F103936,Maharashtra,Solapur,Malshiras,  29 ,"  1,753,516 ","  3,665 ",DIGITAL
Apr-18,F104439,Madhya Pradesh,Shivpuri,Shivpuri,  62 ,"  24,720,174 ","  47,820 ",DIGITAL
Apr-18,F104841,Madhya Pradesh,Indore,Indore,  6 ,"  5,675,397 ","  12,235 ",DIGITAL
Apr-18,F104838,Maharashtra,Amravati,Amravati,  19 ,"  873,507 ","  1,714 ",DIGITAL
Apr-18,F104808,Madhya Pradesh,Ratlam,Jaora,  5 ,"  6,580,266 ","  14,059 ",DIGITAL
Apr-18,F104854,Karnataka,Bangalore,Bangalore North,  21 ,"  57,599,965 ","  118,458 ",DIGITAL
Apr-18,F104789,Madhya Pradesh,Vidisha,Ahmedpur,  19 ,"  3,309,310 ","  8,210 ",DIGITAL
Apr-18,F104849,Madhya Pradesh,Guna,Guna,  20 ,"  167,373 ",  213 ,DIGITAL
Apr-18,F104765,Madhya Pradesh,Bhopal,Huzur,  7 ,"  181,115 ",  361 ,DIGITAL
Apr-18,F103734,Maharashtra,Sangli,K. Mahankal,  15 ,"  113,912 ",  117 ,DIGITAL
Apr-18,F104845,Madhya Pradesh,Mandsaur,Mandsaur,  5 ,"  3,433,958 ","  7,465 ",DIGITAL
Apr-18,F104851,Madhya Pradesh,Barwani,Thikari,  4 ,"  556,448 ","  1,111 ",DIGITAL
Apr-18,F166341,Gujarat,Surat,Olpad,  1 ,"  4,970 ",  10 ,DIGITAL
Apr-18,F104668,Maharashtra,Yavatmal,Yavatmal,  31 ,"  1,008,382 ","  2,094 ",DIGITAL
Apr-18,F104626,Madhya Pradesh,Bhind,Gohad,  15 ,"  3,980,111 ","  8,441 ",DIGITAL
Apr-18,F166337,Madhya Pradesh,Shivpuri,Shivpuri,  20 ,"  164,994 ",  212 ,DIGITAL
Apr-18,F166351,Madhya Pradesh,Morena,Morena,  2 ,"  22,855 ",  36 ,DIGITAL
Apr-18,F104402,Madhya Pradesh,Sehore,Budhni,  20 ,"  2,756,565 ","  5,465 ",DIGITAL
Apr-18,F104608,Madhya Pradesh,Dhar,Dhar,  24 ,"  8,076,914 ","  17,874 ",DIGITAL
Apr-18,F104827,Madhya Pradesh,Ratlam,Piploda,  17 ,"  4,430,784 ","  9,740 ",DIGITAL
Apr-18,F167094,Madhya Pradesh,Bhopal,Huzur,  1 ,"  19,904 ",  -   ,DIGITAL
Apr-18,F100035,Goa,South Goa,Mormugao,  43 ,"  1,995,448 ","  1,955 ",DIGITAL
Apr-18,F104068,Madhya Pradesh,Dhar,Dhar,  20 ,"  820,525 ","  1,548 ",DIGITAL
Apr-18,F104835,Madhya Pradesh,Bhopal,Huzur,  9 ,"  9,292,720 ","  20,636 ",DIGITAL
Apr-18,F101026,Gujarat,Bharuch,Bharuch,  8 ,"  5,873,153 ","  12,634 ",DIGITAL
Apr-18,F104855,Madhya Pradesh,Shivpuri,Shivpuri,  7 ,"  5,890,216 ","  12,297 ",DIGITAL
Apr-18,F103547,Maharashtra,Sangli,Miraj,  35 ,"  1,005,649 ",  941 ,DIGITAL
Apr-18,F104760,Madhya Pradesh,Barwani,Thikari,  1 ,  341 ,  -   ,DIGITAL
Apr-18,F103875,Madhya Pradesh,Hoshangabad,Hoshangabad,  37 ,"  1,837,564 ","  3,686 ",DIGITAL
Apr-18,F104828,Karnataka,Bangalore,Bangalore South,  15 ,"  29,935,496 ","  61,137 ",DIGITAL
Apr-18,F103851,Madhya Pradesh,Indore,Indore,  5 ,"  21,076 ",  -   ,DIGITAL
Apr-18,F166996,Madhya Pradesh,Shivpuri,Shivpuri,  1 ,"  355,010 ","  1,010 ",DIGITAL
Apr-18,F104471,Tamil Nadu,Madurai,Madurai South,  3 ,"  5,606 ",  9 ,DIGITAL
Apr-18,F104813,Madhya Pradesh,Shivpuri,Shivpuri,  4 ,"  5,640,279 ","  11,880 ",DIGITAL
Apr-18,F104774,Madhya Pradesh,Ratlam,Ratlam,  19 ,"  2,212,624 ","  4,041 ",DIGITAL
Apr-18,F101030,Gujarat,Ahmedabad,Sanand,  6 ,"  1,014,562 ","  1,963 ",DIGITAL
Apr-18,F101031,Gujarat,Kachchh,Mundra,  13 ,"  913,623 ","  1,640 ",DIGITAL
Apr-18,F104591,Madhya Pradesh,Morena,Sabalgarh,  7 ,"  367,835 ",  631 ,DIGITAL
Apr-18,F101012,Gujarat,Rajkot,Rajkot,  7 ,"  3,712,659 ","  8,283 ",DIGITAL
Apr-18,F104025,Tamil Nadu,Cuddalore,Tittakudi,  31 ,"  921,965 ","  1,605 ",DIGITAL
Apr-18,F103719,Maharashtra,Sangli,Palus,  12 ,"  889,576 ","  1,397 ",DIGITAL
Apr-18,F104667,Madhya Pradesh,Dhar,Sardarpur,  5 ,"  96,242 ",  192 ,DIGITAL
Apr-18,F160442,Gujarat,Surat,Surat,  8 ,"  3,220,847 ","  7,341 ",DIGITAL
Apr-18,F103058,Gujarat,Panch Mahals,Halol,  8 ,"  303,768 ",  607 ,DIGITAL
Apr-18,F103953,Madhya Pradesh,Bhopal,Huzur,  28 ,"  2,486,710 ","  4,648 ",DIGITAL
Apr-18,F104627,Madhya Pradesh,East Nimar,Khandwa,  1 ,"  5,730 ",  -   ,DIGITAL
Apr-18,F103616,Maharashtra,Solapur,Malshiras,  4 ,"  99,330 ",  57 ,DIGITAL
Apr-18,F104313,Madhya Pradesh,Bhopal,Huzur,  14 ,"  2,252,064 ","  5,097 ",DIGITAL
Apr-18,F104816,Madhya Pradesh,Ratlam,Ratlam,  5 ,"  4,076,441 ","  8,750 ",DIGITAL
Apr-18,F104138,Madhya Pradesh,Dhar,Sardarpur,  17 ,"  264,373 ",  375 ,DIGITAL
Apr-18,F167000,Madhya Pradesh,Mandsaur,Garoth,  6 ,"  1,997,877 ","  4,278 ",DIGITAL
Apr-18,F104658,Maharashtra,Nashik,Sinnar,  10 ,"  50,930 ",  3 ,DIGITAL
Apr-18,F164619,Karnataka,Bangalore,Bangalore North,  6 ,"  15,919,679 ","  32,739 ",DIGITAL
Apr-18,F153702,Madhya Pradesh,Guna,Raghogarh,  3 ,"  1,872,372 ","  4,035 ",DIGITAL
Apr-18,F104788,Maharashtra,Nagpur,Kamptee,  19 ,"  168,366 ",  4 ,DIGITAL
Apr-18,F103949,Maharashtra,Sangli,Atpadi,  2 ,"  1,451 ",  1 ,DIGITAL
Apr-18,F104461,Madhya Pradesh,Barwani,Sendhwa,  6 ,"  652,194 ","  1,218 ",DIGITAL
Apr-18,F104778,Maharashtra,Gondia,Sadak Arjuni,  12 ,"  70,448 ",  19 ,DIGITAL
Apr-18,F104245,Madhya Pradesh,Dhar,Dharampuri,  2 ,"  2,747,696 ","  5,788 ",DIGITAL
Apr-18,F101008,Gujarat,Dahod,Devgadbaria,  8 ,"  122,853 ",  20 ,DIGITAL
Apr-18,F104646,Maharashtra,Amravati,Paratwada,  25 ,"  119,457 ",  166 ,DIGITAL
Apr-18,F103961,Madhya Pradesh,Rewa,Huzur,  3 ,"  31,280 ",  -   ,DIGITAL
Apr-18,F104799,Madhya Pradesh,Shivpuri,Shivpuri,  3 ,"  184,886 ",  326 ,DIGITAL
Apr-18,F104770,Madhya Pradesh,Bhopal,Huzur,  2 ,"  190,020 ",  380 ,DIGITAL
Apr-18,F104729,Maharashtra,Nagpur,Ramtek,  14 ,"  105,954 ",  2 ,DIGITAL
Apr-18,F104354,Madhya Pradesh,Gwalior,Gwalior,  10 ,"  650,440 ","  1,297 ",DIGITAL
Apr-18,F103876,Madhya Pradesh,Hoshangabad,Archnagaon,  19 ,"  1,590,023 ","  3,929 ",DIGITAL
Apr-18,F164316,Madhya Pradesh,Indore,Indore,  1 ,"  202,474 ",  405 ,DIGITAL
Apr-18,F166330,Madhya Pradesh,Bhopal,Huzur,  1 ,"  129,402 ",  245 ,DIGITAL
