Month,FID,RMF PNH ID,RMF Name,State,District,Town, RF'S  , Total value , Earned Margin ,, RF'S  , Total value , Earned Margin ,,RF's,Earned Margin
Aug-18,F168392,30277103,C P DARUWALA,Gujarat,Surat,Chorasi,44,472321,2619,,90,114097130,230811,,  -   ,  -   
Aug-18,F167881,30547350,Naveen kumar jain,Rajasthan,Sawai Madhopur,Alanpur,1,12900,97,,1,3583008,10958,,  -   ,  -   
Aug-18,F165420,35155616,Santoshi Enterprises,Gujarat,Valsad,Umargam,5,71009,455,,7,17006764,34678,,  -   ,  -   
Aug-18,F104787,34431489,Balaji Stores,Madhya Pradesh,Jhabua,Jhabua,32,716140,20987,,4,1318314,2673,,29,4000
Aug-18,F101026,33874828,Nabipur Telecom,Gujarat,Bharuch,Bharuch,20,289611,7713,,13,6112519,12366,,  -   ,  -   
Aug-18,F168161,30052290,Patel Graphics,Gujarat,Rajkot,Wankaner,3,47819,318,,4,11940291,23915,,  -   ,  -   
Aug-18,F102633,31186594,Urvi Communication,Gujarat,Bharuch,Vagra,27,313492,1192,,42,48766819,98112,,  -   ,  -   
Aug-18,F168133,39153061,Trupti Traders,Maharashtra,Aurangabad,Gangapur,3,25570,114,,10,6049492,13229,,  -   ,  -   
Aug-18,F167019,39680186,Autus Academy,Madhya Pradesh,Chhindwara,Chhindwara,24,346882,9009,,17,6489495,13043,,  -   ,  -   
Aug-18,F102792,37298698,Ekta Communications,Gujarat,Vadodara,Vadodara,4,91254,1308,,22,1433193,3517,,  -   ,  -   
Aug-18,F167831,30633796,Sony Telecom,Gujarat,Ahmedabad,Sanand,5,49622,211,,9,4179655,8449,,  -   ,  -   
Aug-18,F168149,30892191,RAVI GENERAL STORES,Maharashtra,Akola,Akola,  -   ,  -   ,  -   ,,3,57114,114,,  -   ,  -   
Aug-18,F169377,36594299,Sai Krishna Online Services,Telangana,Medak,R.c.puram,10,890142,12513,,32,11730700,24097,,  -   ,  -   
Aug-18,F104812,36954618,S.F.Enterprises,Madhya Pradesh,Dhar,Kukshi,8,111008,1074,,19,9481208,18974,,  -   ,  -   
Aug-18,F104853,36577819,Jai Maa Ratangarh Enterprises ,Madhya Pradesh,Gwalior,Gwalior,11,109562,326,,18,23188712,52394,,  -   ,  -   
Aug-18,F104856,35871694,Arjun Agencies,Tamil Nadu,Coimbatore,Coimbatore North,8,70151,487,,19,11474471,23346,,  -   ,  -   
Aug-18,F167998,37500870,Mahesh infocom,Madhya Pradesh,Balaghat,Balaghat,27,1202381,27309,,9,11703273,23407,,  -   ,  -   
Aug-18,F104860,35476733,Omkar Enterprises,Madhya Pradesh,Indore,Indore,13,144179,1069,,25,26367015,54281,,  -   ,  -   
Aug-18,F168404,36008459,Gupta enterprises,Madhya Pradesh,Indore,Indore,1,10312,8,,8,3365541,6845,,  -   ,  -   
Aug-18,F104298,31586234,S L Enterprises,Madhya Pradesh,Morena,Morena,27,484531,9843,,24,8442044,17164,,  -   ,  -   
Aug-18,F104668,35251365,Farukh Sales (RMF),Maharashtra,Yavatmal,Yavatmal,45,1272261,26458,,26,3709942,9456,,40,4000
Aug-18,F168322,31895789,Kuber Marketing,Gujarat,Rajkot,Rajkot,  -   ,  -   ,20,,5,40968,82,,  -   ,  -   
Aug-18,F170094,38381536,Sri Datta Karunya Agencies,Andhra Pradesh,Nellore,Kavali,  -   ,  -   ,  -   ,,1,15250,31,,  -   ,  -   
Aug-18,F169648,35328665,M??a ????ishno ????terprises,Uttar Pradesh,Gorakhpur,Sadar,1,10157,22,,3,1124495,2256,,  -   ,  -   
Aug-18,F104789,32285473,S.S.Marketing,Madhya Pradesh,Vidisha,Ahmedpur,19,202089,4069,,17,4619768,9856,,  -   ,  -   
Aug-18,F164052,35742607,Mohammed & Son's,Madhya Pradesh,Seoni,Seoni,44,2942004,61890,,9,10248463,20497,,41,4000
Aug-18,F103577,35925655,Balaji Communication,Maharashtra,Sangli,Khanapur,3,22116,103,,23,1510968,4784,,  -   ,  -   
Aug-18,F103930,31512231,Samskruthi Fancy Saree Emporium,Madhya Pradesh,Ujjain,Ujjain,7,42326,689,,83,3434159,10157,,  -   ,  -   
Aug-18,F165376,39331323,Shree sai enterprises,Madhya Pradesh,Dhar,Dhar,47,457875,9498,,68,12969043,27136,,30,4000
Aug-18,F169940,31716576,K M Stores,Kerala,Malappuram,Tirurangadi,5,64369,291,,9,18244805,36597,,  -   ,  -   
Aug-18,F103936,35939119,Electronic Bazaar,Maharashtra,Solapur,Malshiras,32,288398,5495,,28,4755557,11324,,  -   ,  -   
Aug-18,F101027,32885272,Shreeji Telecom,Gujarat,Bharuch,Anklesvar,4,41745,325,,11,9931872,20615,,  -   ,  -   
Aug-18,F166399,30051624,Maa Sharda Agency,Madhya Pradesh,Bhind,Gohad,27,228983,7419,,16,342126,882,,  -   ,  -   
Aug-18,F167757,37333516,Mangalam telecom,Gujarat,Anjar,Anjar,5,94476,667,,8,14103127,28222,,  -   ,  -   
Aug-18,F104123,38391835,Shree Shyam Oxiworld,Uttar Pradesh,Deoria,Babhani,10,109423,341,,82,16962295,40853,,  -   ,  -   
Aug-18,F168081,32606084,VYANKTESH mobile,Maharashtra,Yavatmal,Yavatmal,  -   ,  -   ,  -   ,,18,235417,1871,,  -   ,  -   
Aug-18,F104488,39932665,Anjana Traders,Madhya Pradesh,Mandsaur,Mandsaur,1,10490,32,,3,725330,1466,,  -   ,  -   
Aug-18,F164327,36140215,Zen electronics & cooling system,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,,2,745050,1490,,  -   ,  -   
Aug-18,F170058,31953518,Jaiswal Suvidha kendra,Chattisgarh,Korba,Korba,6,89653,1127,,8,5794719,11883,,  -   ,  -   
Aug-18,F104758,35162198,Sri Sai Enterprises,Karnataka,Kolar,Kolar,29,31882,669,,40,3154628,7213,,  -   ,  -   
Aug-18,F100974,37847699,Samir Telecom,Gujarat,Panch Mahals,Halol,4,44660,110,,13,9462815,19156,,  -   ,  -   
Aug-18,F166246,33128681,Sai Raksam Enterprises,Tamil Nadu,Tirunelveli,Palayamkottai,8,100560,1525,,35,3028879,8041,,  -   ,  -   
Aug-18,F104807,31653394,Manjeri Stores,Kerala,Malappuram,Ernad,2,13843,88,,41,5513958,14990,,  -   ,  -   
Aug-18,F170480,30458160,S P Communications,Uttar Pradesh,Kanpur Nagar,Chauraha,  -   ,  -   ,  -   ,,1,41360,83,,  -   ,  -   
Aug-18,F104560,36673498,Sri Rama Mobiles,Telangana,K.V.Rangareddy,Rangareddy,4,48889,242,,29,17775093,39433,,  -   ,  -   
Aug-18,F104419,31652539,Ram Enterprises,Tamil Nadu,Theni,Uthamapalayam,  -   ,  -   ,  -   ,,16,301114,1180,,  -   ,  -   
Aug-18,F165563,33533123,Krishna Prabha Enterprises (SF),Andhra Pradesh,Chittoor,Chinnagottigallu Mandal,3,2501,71,,14,685033,2313,,  -   ,  -   
Aug-18,F168222,35590154,Rajat Photo telecom,Madhya Pradesh,Ratlam,Ratlam,2,12900,97,,6,1260901,2536,,  -   ,  -   
Aug-18,F103435,31558898,Kripa Creations,Kerala,Kozhikode,Kozhikode,6,53109,421,,75,9052164,27850,,  -   ,  -   
Aug-18,F104583,37545379,Sri Lakshmi Agencies,Tamil Nadu,Coimbatore,Coimbatore North,22,163344,1410,,47,13241402,27841,,  -   ,  -   
Aug-18,F104755,32948161,A.S Enterprises ,Maharashtra,Sangli,Miraj,52,1055719,28179,,112,1602919,8794,,51,4000
Aug-18,F103649,31588822,Vaishnavi Traders,Telangana,Karim Nagar,Arepalli,11,98909,1786,,35,799260,3315,,  -   ,  -   
Aug-18,F104316,35646156,Afnan distribution,Kerala,Thrissur,Kodungallur,1,11520,45,,3,3928015,7985,,  -   ,  -   
Aug-18,F104428,31176578,Telangana Online,Telangana,Khammam,Paloncha,  -   ,  -   ,  -   ,,7,111670,331,,  -   ,  -   
Aug-18,F168260,30263181,Freinds communication,Madhya Pradesh,Indore,Indore,12,59692,353,,10,8386334,16912,,  -   ,  -   
Aug-18,F104517,32579767,Genuine Enterprises,Karnataka,Mandya,Mandya,41,260203,7039,,22,1481859,4321,,  -   ,  -   
Aug-18,F104266,38625141,Eesha Enterprises,Karnataka,Mysore,Mysore,  -   ,  -   ,  -   ,,2,1015,2,,  -   ,  -   
Aug-18,F103533,37734824,Laxmikant Electronics,Maharashtra,Sangli,Miraj,1,10200,94,,44,3222179,12171,,  -   ,  -   
Aug-18,F103791,36578943,M M Enterprises,Karnataka,Ramanagar,Magadi,4,32831,792,,60,1086796,6201,,  -   ,  -   
Aug-18,F103878,34978814,B M B Agency,Madhya Pradesh,Dewas,Dewas,  -   ,  -   ,  -   ,,50,681730,4633,,  -   ,  -   
Aug-18,F104490,35265492,Shree Vishnu Enterprises,Tamil Nadu,Erode,Erode,5,43496,320,,11,3842103,8121,,  -   ,  -   
Aug-18,F104678,34372685,Raj Traders (RMF),Karnataka,Bangalore Rural,Doddaballapura,1,10084,56,,25,1911048,4949,,  -   ,  -   
Aug-18,F104794,37781765,Eden Enterprises,Tamil Nadu,Tirunelveli,Palayamkottai,  -   ,  -   ,  -   ,,12,363411,814,,  -   ,  -   
Aug-18,F103524,31235883,Tulip Infotech,Karnataka,Chickmagalur,Koppa,  -   ,  -   ,  -   ,,14,1210296,5032,,  -   ,  -   
Aug-18,F103340,36518867,Sree Manjunath Traders,Andhra Pradesh,Ananthapur,Gooty,7,164310,3098,,52,8119906,18036,,  -   ,  -   
Aug-18,F103650,39582473,PERFECT FINANCIAL SOLUTIONS,Karnataka,Chickmagalur,Chikmagalur,43,333194,6140,,29,84149,661,,43,4000
Aug-18,F103952,32878643,S S Corporation,Madhya Pradesh,Indore,Indore,  -   ,  -   ,  -   ,,12,333685,1385,,  -   ,  -   
Aug-18,F103400,31893453,Sharada Enterprises,Karnataka,Kolar,Malur,45,338155,7786,,32,6940144,16592,,39,4000
Aug-18,F104826,39386244,Coco Brain Technologies ,Kerala,Kannur,Taliparamba,1,  -   ,  -   ,,10,197457,958,,  -   ,  -   
Aug-18,F103339,36383123,Kranthi Enterprises,Andhra Pradesh,Ananthapur,Dharmavaram,  -   ,  -   ,  -   ,,17,558629,4070,,  -   ,  -   
Aug-18,F103760,33494922,Sri Raghavendra Communication,Tamil Nadu,Coimbatore,Mettupalayam,  -   ,  -   ,  -   ,,6,78314,271,,  -   ,  -   
Aug-18,F104355,33169929,Sambhavnath Agency,Maharashtra,Wardha,Wardha,25,163572,5263,,88,1533334,8721,,  -   ,  -   
Aug-18,F165558,36875965,Sri Lakshmi Enterprises,Andhra Pradesh,Cuddapah,Cuddapah,13,934313,21222,,7,1918292,3896,,  -   ,  -   
Aug-18,F103624,37457745,Balaji Basic Computer Center,Karnataka,Mysore,Mysore,2,21124,37,,17,2728217,6665,,  -   ,  -   
Aug-18,F104791,38566354,Dreams Valley Mobile Gallery,Madhya Pradesh,Jhabua,Jhabua,  -   ,  -   ,  -   ,,2,11010,22,,  -   ,  -   
Aug-18,F104241,36972718,Tamilan Mobiles,Tamil Nadu,Thanjavur,Kumbakonam,1,118793,2542,,1,12810,26,,  -   ,  -   
Aug-18,F104041,33654331,Sri Vijaya Lakshmi Traders,Andhra Pradesh,Nellore,Tada,11,191780,3173,,23,21679897,44910,,  -   ,  -   
Aug-18,F170586,32936624,DIYA ENTERPRISES,Madhya Pradesh,Bhopal,Huzur,21,833957,18084,,2,449431,899,,  -   ,  -   
Aug-18,F103968,32735278,Sanjeevini Medical & General Store,Telangana,Nalgonda,Nalgonda,15,144904,3395,,18,1593128,4648,,  -   ,  -   
Aug-18,F104808,39925798,Ratnaraj Distributors ,Madhya Pradesh,Ratlam,Jaora,3,51900,1128,,5,7229951,14463,,  -   ,  -   
Aug-18,F104835,39477212,Keshar Communication ,Madhya Pradesh,Bhopal,Huzur,20,597811,13876,,25,11721876,23694,,  -   ,  -   
Aug-18,F104457,35629586,Bajaj Auto Parts & Oil Center,Maharashtra,Amravati,Achalpur City,1,37577,675,,2,332656,671,,  -   ,  -   
Aug-18,F104717,33636273,P.A.Marketing (RMF),Kerala,Malappuram,Ernad,3,41643,195,,12,20176907,40945,,  -   ,  -   
Aug-18,F103737,39269239,Chilamaturu Traders,Andhra Pradesh,Kurnool,Kurnool,1,29870,1267,,4,210208,433,,  -   ,  -   
Aug-18,F104626,38158158,A.S.Tomar Enterprises (RMF),Madhya Pradesh,Bhind,Gohad,1,12611,79,,9,4540136,9333,,  -   ,  -   
Aug-18,F104798,33951427,Alfa Windows,Tamil Nadu,Ramanathapuram,Ramanathapuram,  -   ,  -   ,  -   ,,2,8807,22,,  -   ,  -   
Aug-18,F104815,32836963,Saffron Communications ,Madhya Pradesh,Vidisha,Ahmedpur,3,33746,145,,26,3500462,7785,,  -   ,  -   
Aug-18,F103345,31389777,Prabhu Associates,Karnataka,Koppal,Yelburga,1,13499,52,,2,1190638,2576,,  -   ,  -   
Aug-18,F103924,32967615,Sri gyana saraswathi mobile shop,Telangana,Nizamabad,Banswada,2,28086,937,,9,104949,654,,  -   ,  -   
Aug-18,F100035,35522233,Sanjay Prabhakar Shirookar,Goa,South Goa,Mormugao,  -   ,  -   ,  -   ,,40,1884811,9180,,  -   ,  -   
Aug-18,F103377,32286988,Srinivasa Distributors,Karnataka,Kolar,Bangarapet,43,170934,5991,,66,1213213,7738,,  -   ,  -   
Aug-18,F103480,37299148,S.L.R Agencies,Karnataka,Tumkur,Sira,1,16721,498,,51,1710499,5219,,  -   ,  -   
Aug-18,F104746,39725829,Kisan Plastics,Karnataka,Chikkaballapur,Sidlghatta,2,22082,747,,16,445614,2321,,  -   ,  -   
Aug-18,F104128,35247931,Harikanth mobiles,Telangana,Mahabub Nagar,Baswaipalli,2,4480,135,,13,58417,442,,  -   ,  -   
Aug-18,F103231,34943177,Srinivasa Agency,Karnataka,Tumkur,Chikkanayakanahlli,33,549066,15131,,66,1035080,6232,,31,4000
Aug-18,F170187,37584911,C L Communication,Karnataka,Dharwad,Hubli,11,1019944,16352,,3,1498,6,,  -   ,  -   
Aug-18,F104291,37261691,Mansani Enterprises,Telangana,Mahabub Nagar,Anugonda,1,2415,56,,11,666828,3668,,  -   ,  -   
Aug-18,F104828,37922921,Kushal Enterprises,Karnataka,Bangalore,Bangalore South,5,53389,126,,11,26304839,52728,,  -   ,  -   
Aug-18,F104656,35259721,Poonam Telecom Agency (RMF),Maharashtra,Akola,Akola,26,690932,15047,,30,16483634,35511,,  -   ,  -   
Aug-18,F103057,34654755,Laxmi Enterprises,Goa,North Goa,Panaji,16,27927,1202,,64,3904953,15264,,  -   ,  -   
Aug-18,F104263,33956555,Vivek Mobile Gallery,Madhya Pradesh,Dhar,Dhar,1,10354,15,,2,2364909,4865,,  -   ,  -   
Aug-18,F104801,31144257,Sahil Telecom ,Madhya Pradesh,Ujjain,Ujjain,28,450653,9258,,13,347353,737,,27,4000
Aug-18,F104109,34445791,Sai Communication,Andhra Pradesh,Nellore,Venkatachalam,3,14103,269,,12,2015107,4674,,  -   ,  -   
Aug-18,F160113,32275313,Sri Balaji Inc,Karnataka,Bangalore,Bangalore South,5,50557,8,,10,28140531,56283,,  -   ,  -   
Aug-18,F104840,33218442,Shree Nidhi Enterprises,Karnataka,Bangalore,Anekal,3,36110,135,,10,16644776,33350,,  -   ,  -   
Aug-18,F103373,35612458,Venkateshwara Stores,Karnataka,Tumkur,Tumkur,  -   ,  -   ,  -   ,,2,4817,37,,  -   ,  -   
Aug-18,F103428,35147464,Vee Gee Communications,Karnataka,Tumkur,Kunigal,4,34775,875,,45,695660,5195,,  -   ,  -   
Aug-18,F103842,36915794,Venkateswara Agencies,Andhra Pradesh,Ananthapur,Tadipatri,10,63746,1413,,34,622598,3119,,  -   ,  -   
Aug-18,F100037,39477226,Fortune Gift House,Goa,South Goa,Salcete,5,49132,214,,56,7176240,21307,,  -   ,  -   
Aug-18,F103888,33931534,Friends Communication,Karnataka,Chitradurga,Hosadurga,  -   ,  -   ,  -   ,,2,163440,392,,  -   ,  -   
Aug-18,F104863,32716644,U.S.B.Computers,Madhya Pradesh,Dhar,Dhar,3,30784,400,,6,2570409,5168,,  -   ,  -   
Aug-18,F104756,38157432,Anjanadri Traders,Karnataka,Tumkur,C.n.halli,23,204240,5470,,23,237757,1803,,  -   ,  -   
Aug-18,F103486,39473553,Raj's Communications,Karnataka,Hassan,Arkalgud,3,1607,42,,47,671237,4925,,  -   ,  -   
Aug-18,F100991,32267557,Gulshan Mobiles,Gujarat,Panch Mahals,Godhra,8,153652,4557,,53,1702132,7163,,  -   ,  -   
Aug-18,F104577,34978486,Shariff Telecom,Maharashtra,Ratnagiri,Chiplun,4,50762,216,,30,9511887,20301,,  -   ,  -   
Aug-18,F104739,39948387,Dharmik Communications,Kerala,Kannur,Taliparamba,1,10500,33,,28,3608265,10777,,  -   ,  -   
Aug-18,F104653,31597371,S.L.N.Telecom (RMF),Karnataka,Kolar,Chickballapur,1,10670,20,,4,2201265,4406,,  -   ,  -   
Aug-18,F104363,37984919,D.V.G Communication,Telangana,Mahabub Nagar,Bhogaram,  -   ,  -   ,  -   ,,8,98598,307,,  -   ,  -   
Aug-18,F168653,37716292,Mobi King's ,Karnataka,Bangalore Rural,Hoskote,1,  -   ,20,,13,1716664,5342,,  -   ,  -   
Aug-18,F104508,31626713,Laxmi Ganapathi Mobiles,Telangana,Khammam,Aswaraopet,1,  -   ,  -   ,,1,  -   ,  -   ,,  -   ,  -   
Aug-18,F104156,35676685,SAIRAM ENTERPRIZES,Telangana,Khammam,Kothagudem,  -   ,  -   ,  -   ,,5,271650,594,,  -   ,  -   
Aug-18,F103731,35514994,R.N Traders,Tamil Nadu,Madurai,Madurai South,1,984,25,,8,107831,631,,  -   ,  -   
Aug-18,F103512,39151632,M.M Communication,Karnataka,Bijapur(KAR),Bijapur,  -   ,  -   ,  -   ,,59,469346,3692,,  -   ,  -   
Aug-18,F104286,31979366,Sri Sai Shiva Cell Wrold,Telangana,Mahabub Nagar,Stn. Jadcherla,3,11386,83,,20,644106,2201,,  -   ,  -   
Aug-18,F167219,35865733,S.P Creations,Andhra Pradesh,East Godavari,Kakinada (Urban),11,61686,1424,,13,1262403,4181,,  -   ,  -   
Aug-18,F104519,35335532,Chandhu Agencies,Karnataka,Mysore,K R Nagar,2,25988,640,,10,100568,444,,  -   ,  -   
Aug-18,F103966,32839733,Om computer,Maharashtra,Solapur,Mangalvedha,  -   ,  -   ,  -   ,,14,887853,2086,,  -   ,  -   
Aug-18,F104825,38327985,B.V.S.Infotech,Karnataka,Chamrajnagar,Kollegal,  -   ,  -   ,  -   ,,12,202222,1362,,  -   ,  -   
Aug-18,F168555,31687805,TANEJA PATANJALI SEVA KENDRA,Madhya Pradesh,Sehore,Budhni,2,21938,39,,17,3284593,7191,,  -   ,  -   
Aug-18,F103690,36877596,JK Traders,Kerala,Kasargod,Hosdurg,1,2648,40,,39,1924288,7684,,  -   ,  -   
Aug-18,F104667,33645272,Shivani Telecom (RMF),Madhya Pradesh,Dhar,Sardarpur,  -   ,  -   ,  -   ,,3,22200,44,,  -   ,  -   
Aug-18,F103472,32362294,Anjani Tele Service & Marketing,Andhra Pradesh,Ananthapur,Anantapur,2,30604,647,,39,1251702,5702,,  -   ,  -   
Aug-18,F168399,36348278,NEW BHARAT TRADING CO,Madhya Pradesh,Ratlam,Jaora,  -   ,  -   ,30,,1,1500,3,,  -   ,  -   
Aug-18,F104742,35598943,Fab Dato's,Andhra Pradesh,Prakasam,Ongole,  -   ,  -   ,  -   ,,4,455589,995,,  -   ,  -   
Aug-18,F168491,33040051,Maruti Marketing,Gujarat,Junagadh,Keshod,2,26998,105,,7,2745850,5492,,  -   ,  -   
Aug-18,F104046,38459495,Bhavya Agency,Madhya Pradesh,Dewas,Khategaon,1,10117,42,,14,1844430,3873,,  -   ,  -   
Aug-18,F104533,35488159,Mani & Co.,Tamil Nadu,Nilgiris,Udhagamandalam,  -   ,  -   ,  -   ,,2,90901,470,,  -   ,  -   
Aug-18,F104258,37691452,Geetha Store,Andhra Pradesh,Chittoor,Tirupati (Urban),2,26349,496,,7,2429221,4889,,  -   ,  -   
Aug-18,F103411,33135695,Priya Traders,Karnataka,Kolar,Bagepalli,1,10500,33,,12,1930042,5613,,  -   ,  -   
Aug-18,F103380,36486917,Shri Shantikamba Enterprises,Karnataka,Uttara Kannada,Kumta,3,5481,140,,67,1114592,8770,,  -   ,  -   
Aug-18,F104439,32774514,Chintamadi Rakesh Kumar,Madhya Pradesh,Shivpuri,Shivpuri,35,956656,28617,,31,23029481,64139,,  -   ,  -   
Aug-18,F104862,33928221,V.S Communications,Kerala,Thiruvananthapuram,Thiruvananthapuram,4,41260,62,,10,9861875,20527,,  -   ,  -   
Aug-18,F104802,38259225,Ezone E Services,Maharashtra,Akola,Akola,  -   ,  -   ,55,,8,2478465,4968,,  -   ,  -   
Aug-18,F103525,39594741,Pavan Agencies,Andhra Pradesh,Kurnool,Kurnool,9,148769,7589,,27,278362,2179,,  -   ,  -   
Aug-18,F160818,32526016,Modi Enterprises,Madhya Pradesh,Mandsaur,Mandsaur,26,190914,6081,,42,2882064,13310,,  -   ,  -   
Aug-18,F103779,34832447,Mobile ocean,Karnataka,Ramanagar,Ramanagara,2,2733,85,,12,81042,342,,  -   ,  -   
Aug-18,F167894,34948931,Ashapura Marketing,Gujarat,Valsad,Pardi,  -   ,  -   ,  -   ,,7,815841,1646,,  -   ,  -   
Aug-18,F166382,36469435,Raghuwanshi photo copy,Madhya Pradesh,Guna,Guna,11,271876,5723,,12,23457140,47199,,  -   ,  -   
Aug-18,F104854,34962246,Vijay Enterprises,Karnataka,Bangalore,Bangalore North,  -   ,  -   ,  -   ,,5,810530,1621,,  -   ,  -   
Aug-18,F165844,37257159,Lahari A 2 Z Services ,Andhra Pradesh,Nellore,Naidupeta,  -   ,  -   ,  -   ,,18,799552,2532,,  -   ,  -   
Aug-18,F104643,35376428,Sanam Communication (RMF),Kerala,Malappuram,Ernad,2,22841,93,,7,6116188,12635,,  -   ,  -   
Aug-18,F104025,38813811,R.K.R Agencies,Tamil Nadu,Cuddalore,Tittakudi,1,10720,108,,25,1188078,2962,,  -   ,  -   
Aug-18,F104525,35281872,MCR Traders,Tamil Nadu,Thanjavur,Kumbakonam,  -   ,  -   ,  -   ,,2,53800,108,,  -   ,  -   
Aug-18,F103561,37461568,New Prince Enterprises,Karnataka,Bidar,Humnabad,10,  -   ,355,,33,628942,4906,,  -   ,  -   
Aug-18,F168643,34295916,S.L.V Enterprises,Karnataka,Chikkaballapur,Gauribidanur,1,  -   ,35,,8,57052,402,,  -   ,  -   
Aug-18,F103405,38989455,Balaji DTH Service,Andhra Pradesh,Prakasam,Ongole,29,515936,11360,,66,5379818,15136,,  -   ,  -   
Aug-18,F103633,33941782,Siddhartha Electronics,Karnataka,Raichur,Deodurga,  -   ,  -   ,  -   ,,15,422134,3182,,  -   ,  -   
Aug-18,F103451,36583791,Arjun Dish Communication,Andhra Pradesh,Prakasam,Kandukur,  -   ,  -   ,  -   ,,2,412010,824,,  -   ,  -   
Aug-18,F170188,39236554,Nataraj Enterprises,Karnataka,Kolar,Chintamani,26,140060,3731,,14,24687,170,,26,4000
Aug-18,F104849,31952735,Syam Online Shop,Madhya Pradesh,Guna,Guna,9,17547,334,,8,1904474,4121,,  -   ,  -   
Aug-18,F104253,38977567,Laxmi Keerthana Enterprises,Telangana,Mahabub Nagar,Abhangapur,  -   ,  -   ,  -   ,,16,460842,1562,,  -   ,  -   
Aug-18,F168641,34954716,Sri Vinayaka Enterprises ,Karnataka,Chikkaballapur,Gauribidanur,2,3597,54,,6,77771,397,,  -   ,  -   
Aug-18,F103470,35638992,G.S Agencies,Andhra Pradesh,Ananthapur,Anantapur,2,21316,50,,68,1553538,6459,,  -   ,  -   
Aug-18,F164625,32987138,J.G Distributors,Kerala,Thiruvananthapuram,Chirayinkeezhu,2,20734,65,,47,2329198,8687,,  -   ,  -   
Aug-18,F104144,39711377,Gayathri Cell Point,Andhra Pradesh,Cuddapah,Proddatur,6,72110,446,,10,11417941,22871,,  -   ,  -   
Aug-18,F168030,38907971,Rahul Goyner,Madhya Pradesh,Sheopur,Sheopur,  -   ,  -   ,  -   ,,1,1000,2,,  -   ,  -   
Aug-18,F104468,31574278,Gowri Ganesha Stores,Karnataka,Bangalore Rural,Doddaballapura,1,647,78,,6,1092912,2649,,  -   ,  -   
Aug-18,F103424,33179373,Divakars Enterprises,Karnataka,Uttara Kannada,Sirsi,50,509264,9705,,69,1100962,8697,,49,4000
Aug-18,F101031,37855763,Welcome Telecom (RMF),Gujarat,Kachchh,Mundra,  -   ,  -   ,  -   ,,12,1061098,2901,,  -   ,  -   
Aug-18,F168328,30009423,Rathor Agency,Madhya Pradesh,Shivpuri,Shivpuri,26,216120,5749,,21,268222,998,,  -   ,  -   
Aug-18,F104607,32597514,Lakshmi Sai Electronics (RMF),Andhra Pradesh,Guntur,Chilakaluripet,  -   ,  -   ,  -   ,,10,962049,4886,,  -   ,  -   
Aug-18,F104407,38911575,V.S Enterprises,Tamil Nadu,Salem,Mettur,3,26446,178,,18,2977375,6406,,  -   ,  -   
Aug-18,F103593,32997444,Venkateshwara Finance,Andhra Pradesh,Krishna,Bapulapadu,  -   ,  -   ,  -   ,,4,123523,856,,  -   ,  -   
Aug-18,F103669,32936434,D Souza Enterprises,Karnataka,Uttara Kannada,Bhatkal,43,138755,3532,,63,572637,4570,,  -   ,  -   
Aug-18,F104751,32186254,Aman Telecom,Madhya Pradesh,Hoshangabad,Hoshangabad,1,25421,508,,2,98000,196,,  -   ,  -   
Aug-18,F104763,32341222,Zetta Associates,Kerala,Malappuram,Tirur,2,23513,123,,10,3405191,7717,,  -   ,  -   
Aug-18,F103201,32751474,Keerthana Agencies,Karnataka,Mysore,T Narasipura,1,10998,15,,2,390399,1018,,  -   ,  -   
Aug-18,F104816,37341553,Lucky Computer Distributors,Madhya Pradesh,Ratlam,Ratlam,3,31694,127,,9,6078047,12390,,  -   ,  -   
Aug-18,F104842,33265733,Sri Vari Traders,Tamil Nadu,Cuddalore,Cuddalore,  -   ,  -   ,  -   ,,10,134047,286,,  -   ,  -   
Aug-18,F168192,34819745,Shifa enterprises,Chattisgarh,Durg,Durg,  -   ,  -   ,10,,3,559200,1121,,  -   ,  -   
Aug-18,F103934,38796527,AMBICA FANCY & GENERAL STORE,Telangana,Nalgonda,Nalgonda,  -   ,  -   ,  -   ,,8,269718,824,,  -   ,  -   
Aug-18,F161022,35627271,Murali Communications,Telangana,Nalgonda,Nalgonda,8,105741,1626,,2,15198,33,,  -   ,  -   
Aug-18,F101013,39338995,Bharti Mobile Shop,Gujarat,Rajkot,Rajkot,28,712961,23624,,15,2203995,4672,,26,4000
Aug-18,F104318,32238963,Sri Vaari Enterprises,Karnataka,Mysore,Mysore,1,1308,20,,15,160200,646,,  -   ,  -   
Aug-18,F104710,32248165,Yuktha Enterprises (RMF),Karnataka,Chikkaballapur,Gauribidanur,1,1058,46,,10,446214,1149,,  -   ,  -   
Aug-18,F166812,35582613,Pinnacle Business Services ( RMF ),Tamil Nadu,Kanchipuram,Tambaram,  -   ,  -   ,  -   ,,6,20666,90,,  -   ,  -   
Aug-18,F104571,37329369,Devi Associates,Tamil Nadu,Kanyakumari,Kalkulam,4,25191,425,,8,891247,2030,,  -   ,  -   
Aug-18,F167896,36813658,Shree momai communication,Gujarat,Valsad,Pardi,  -   ,  -   ,  -   ,,3,293313,592,,  -   ,  -   
Aug-18,F103625,38588762,Govinda Traders,Karnataka,Raichur,Raichur,  -   ,  -   ,  -   ,,3,234920,1131,,  -   ,  -   
