_id,whId,poValue,status,partnerOrderIds,isConsolidatedPo,createdAt,skproductId,wmsku,mrp,poQty
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR25018,642841,200,129
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR25804,49353,186,69
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR24326,549615,40,72
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR24817,249308,86,24
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR25163,50711,82,24
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR23876,462290,30,24
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR25026,645025,50,10
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR25216,583404,5,117
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR25580,279989,102,6
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR25806,49409,240,12
2019061729,WMF7,50023.04,Open,3283079,true,17-06-2019 10:41:56,PR26653,258086,56,24
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25805,49339,210,319
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25804,49353,186,32
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24706,203836,60,313
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24560,47029,10,194
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24125,54484,49,24
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24817,249308,86,12
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR26713,980010463,122,3
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25948,55919,20,108
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR26629,710461,120,21
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25219,583418,10,192
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR23861,203045,66,36
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR29177,496856,63,6
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24640,704826,10,60
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25163,50711,82,45
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR29352,58068,45,18
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24326,549615,40,10
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25560,279968,240,15
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR29763,287206,145,54
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25580,279989,102,3
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25216,583404,5,114
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24996,56136,50,14
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24634,680452,10,120
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR23913,607932,135,9
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR24312,461422,45,6
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR23949,693164,123,6
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR23995,980007087,120,12
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR23874,462255,30,12
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR26865,461401,20,36
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25018,642841,200,16
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR23652,59013,225,6
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25213,545583,16,393
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25217,583425,10,660
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR26515,121383,93,12
201906196,WMF7,170408.99,Open,3292727,true,19-06-2019 07:39:42,PR25806,49409,240,1
2019061925,WMF7,7407.89,Open,3295001,true,19-06-2019 10:33:23,PR24706,203836,60,28
2019061925,WMF7,7407.89,Open,3295001,true,19-06-2019 10:33:23,PR25217,583425,10,120
2019061925,WMF7,7407.89,Open,3295001,true,19-06-2019 10:33:23,PR25216,583404,5,227
2019061925,WMF7,7407.89,Open,3295001,true,19-06-2019 10:33:23,PR25219,583418,10,240
2019061925,WMF7,7407.89,Open,3295001,true,19-06-2019 10:33:23,PR25213,545583,16,99
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR25217,583425,10,120
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR25219,583418,10,403
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR25805,49339,210,224
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR24706,203836,60,164
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR25163,50711,82,6
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR26515,121383,93,3
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR24817,249308,86,36
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR25560,279968,240,12
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR29763,287206,145,33
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR29352,58068,45,12
201906208,WMF7,83287.69,Open,3298845,true,20-06-2019 07:31:39,PR29258,47057,10,120
